"txnID","date","cust","prod","qty","unitcost","country","repID"
1001,"1/23/2022","Plaxus Medical","Xinoprozen",1200,2.82,"Canada",119
1002,"7/5/2023","Eleifend GMBH","Zalofen",100,39,"Germany",100
1003,"6/9/2021","At Pretium LLC","Colophrazen",100,1.23,"USA",332
1004,"9/13/2023","Vitae Risus Incorporated","Alaraphosol",100,0.92,"USA",203
1005,"7/1/2021","Pain Management Center","Proxinostat",600,2.23,"USA",332
1006,"5/6/2020","Lorem Luctus","Proxinostat",1200,2.23,"USA",332
1007,"6/2/2022","Enim PC","Bhiktarvizem",1700,3.87,"USA",203
1008,"9/28/2021","Nisl Quisque","Presterone",1700,1.09,"Brazil",887
1009,"11/26/2021","Pain Management Center","Xinoprozen",1900,2.82,"USA",332
1010,"3/18/2020","Enim PC","Gerantrazeophem",1000,1.87,"USA",203
1011,"11/26/2023","Eleifend GMBH","Colophrazen",1000,1.23,"Germany",100
1012,"1/1/2022","Eastern Hospital Group","Proxinostat",300,2.23,"USA",119
1013,"8/26/2020","Lorem Luctus","Bhiktarvizem",800,3.87,"USA",332
1014,"4/20/2022","At Pretium LLC","Bhiktarvizem",900,3.87,"USA",332
1015,"12/12/2023","Lorem Luctus","Diaprogenix",1900,0.04,"USA",332
1016,"7/9/2022","Eu Dolor Companie","Presterone",500,1.09,"Ecuador",887
1017,"3/11/2020","Lorem Luctus","Diaprogenix",200,0.04,"USA",332
1018,"2/5/2020","Adipiscing Mauris Inc.","Presterone",400,1.09,"USA",203
1019,"4/3/2022","Erat Pharma","Bhiktarvizem",1800,3.87,"Germany",100
1020,"5/13/2021","Eastern Hospital Group","Presterone",1200,1.09,"USA",119
1021,"6/12/2022","Luctus Aliquet Plc","Xipramin",1500,0.72,"Brazil",887
1022,"11/3/2020","Luctus Aliquet Plc","Colophrazen",1500,1.23,"Brazil",887
1023,"6/8/2020","Luctus Aliquet Plc","Zalofen",1700,39,"Brazil",887
1024,"10/13/2022","Enim PC","Gerantrazeophem",1900,1.87,"USA",203
1025,"2/12/2020","Saude Universal","Gerantrazeophem",600,1.87,"Brazil",887
1026,"5/22/2021","Eleifend GMBH","Clobromizen",500,1.44,"Germany",100
1027,"4/26/2022","Eastern Hospital Group","Proxinostat",900,2.23,"USA",119
1028,"12/23/2022","Proin Dolor Institut","Presterone",200,1.09,"Germany",221
1029,"2/25/2022","Eastern Hospital Group","Bhiktarvizem",900,3.87,"USA",119
1030,"6/19/2021","Luctus Aliquet Plc","Diaprogenix",1000,0.04,"Brazil",887
1031,"4/26/2020","At Pretium LLC","Colophrazen",500,1.23,"USA",332
1032,"8/10/2020","Luctus Aliquet Plc","Presterone",1400,1.09,"Brazil",887
1033,"5/2/2020","Eleifend GMBH","Bhiktarvizem",100,3.87,"Germany",100
1034,"8/20/2021","Barma Krankenhausgesellschaft","Xinoprozen",1200,2.82,"Austria",655
1035,"6/11/2021","Vitae Risus Incorporated","Zalofen",100,39,"USA",203
1036,"4/16/2023","Proin Dolor Institut","Presterone",700,1.09,"Germany",221
1037,"8/13/2022","Erat Pharma","Clobromizen",1100,1.44,"Germany",100
1038,"4/12/2020","Plaxus Medical","Clobromizen",300,1.44,"Canada",119
1039,"8/8/2021","Saude Universal","Alaraphosol",1900,0.92,"Brazil",887
1040,"5/19/2022","Plaxus Medical","Alaraphosol",1300,0.92,"Canada",119
1041,"8/11/2022","Lorem Luctus","Diaprogenix",1900,0.04,"USA",332
1042,"4/8/2020","Proin Dolor Institut","Bhiktarvizem",500,3.87,"Germany",221
1043,"7/13/2022","Vitae Risus Incorporated","Xipramin",1300,0.72,"USA",203
1044,"2/19/2021","At Pretium LLC","Alaraphosol",1700,0.92,"USA",332
1045,"5/27/2021","Adipiscing Mauris Inc.","Colophrazen",1300,1.23,"USA",203
1046,"6/16/2020","Pain Management Center","Clobromizen",1600,1.44,"USA",332
1047,"3/22/2022","Eleifend GMBH","Clobromizen",1300,1.44,"Germany",100
1048,"4/7/2022","Plaxus Medical","Colophrazen",1800,1.23,"Canada",119
1049,"2/15/2022","Pain Management Center","Colophrazen",1300,1.23,"USA",332
1050,"6/14/2022","Eleifend GMBH","Diaprogenix",900,0.04,"Germany",100
1051,"6/18/2022","Proin Dolor Institut","Bhiktarvizem",200,3.87,"Germany",221
1052,"9/12/2023","Adipiscing Mauris Inc.","Zalofen",500,39,"USA",203
1053,"5/22/2022","Pain Management Center","Bhiktarvizem",1700,3.87,"USA",332
1054,"2/10/2020","Proin Dolor Institut","Diaprogenix",900,0.04,"Germany",221
1055,"12/22/2021","Eu Dolor Companie","Alaraphosol",500,0.92,"Ecuador",887
1056,"7/19/2021","Eastern Hospital Group","Presterone",900,1.09,"USA",119
1057,"8/3/2021","Eleifend GMBH","Alaraphosol",1900,0.92,"Germany",100
1058,"7/21/2021","Varius Plc","Proxinostat",900,2.23,"Brazil",887
1059,"4/2/2021","Barma Krankenhausgesellschaft","Colophrazen",600,1.23,"Austria",655
1060,"5/18/2022","Erat Pharma","Proxinostat",1000,2.23,"Germany",100
1061,"10/18/2021","Eleifend GMBH","Proxinostat",1800,2.23,"Germany",100
1062,"8/25/2022","Lorem Luctus","Xipralofen",700,4.76,"USA",332
1063,"6/12/2023","Enim PC","Xinoprozen",900,2.82,"USA",203
1064,"9/10/2020","Eleifend GMBH","Xinoprozen",500,2.82,"Germany",100
1065,"3/9/2022","Enim PC","Clobromizen",1400,1.44,"USA",203
1066,"8/18/2022","Proin Dolor Institut","Xipramin",1000,0.72,"Germany",221
1067,"6/9/2023","Pain Management Center","Xinoprozen",2000,2.82,"USA",332
1068,"12/28/2020","Luctus Aliquet Plc","Diaprogenix",300,0.04,"Brazil",887
1069,"12/8/2021","Adipiscing Mauris Inc.","Colophrazen",900,1.23,"USA",203
1070,"3/15/2021","Eleifend GMBH","Zalofen",1100,39,"Germany",100
1071,"6/26/2023","Nisl Quisque","Bhiktarvizem",1800,3.87,"Brazil",887
1072,"6/21/2021","Erat Pharma","Presterone",1800,1.09,"Germany",100
1073,"12/19/2022","Saude Universal","Clobromizen",400,1.44,"Brazil",887
1074,"4/24/2022","Adipiscing Mauris Inc.","Diaprogenix",1700,0.04,"USA",203
1075,"6/28/2021","Pain Management Center","Clobromizen",1700,1.44,"USA",332
1076,"9/20/2020","Adipiscing Mauris Inc.","Bhiktarvizem",500,3.87,"USA",203
1077,"6/26/2023","Pain Management Center","Xinoprozen",200,2.82,"USA",332
1078,"9/10/2021","Eastern Hospital Group","Xinoprozen",1500,2.82,"USA",119
1079,"4/23/2022","Lorem Luctus","Gerantrazeophem",300,1.87,"USA",332
1080,"8/11/2021","Pain Management Center","Diaprogenix",1300,0.04,"USA",332
1081,"10/2/2023","Eastern Hospital Group","Xipramin",1000,0.72,"USA",119
1082,"6/18/2021","Eu Dolor Companie","Alaraphosol",200,0.92,"Ecuador",887
1083,"6/20/2022","Varius Plc","Clobromizen",1500,1.44,"Brazil",887
1084,"10/18/2022","Plaxus Medical","Bhiktarvizem",700,3.87,"Canada",119
1085,"2/22/2022","Varius Plc","Clobromizen",600,1.44,"Brazil",887
1086,"11/9/2021","Lorem Luctus","Xinoprozen",1600,2.82,"USA",332
1087,"5/20/2023","Lorem Luctus","Xipramin",600,0.72,"USA",332
1088,"10/8/2023","Vitae Risus Incorporated","Clobromizen",1000,1.44,"USA",203
1089,"3/18/2022","Nisl Quisque","Diaprogenix",1500,0.04,"Brazil",887
1090,"11/12/2022","Proin Dolor Institut","Xinoprozen",1300,2.82,"Germany",221
1091,"4/5/2020","Saude Universal","Zalofen",1700,39,"Brazil",887
1092,"7/18/2021","Eu Dolor Companie","Presterone",700,1.09,"Ecuador",887
1093,"2/19/2022","At Pretium LLC","Xipramin",500,0.72,"USA",332
1094,"11/3/2023","Adipiscing Mauris Inc.","Colophrazen",1400,1.23,"USA",203
1095,"5/4/2021","Lorem Luctus","Gerantrazeophem",600,1.87,"USA",332
1096,"11/14/2021","Eu Dolor Companie","Bhiktarvizem",1100,3.87,"Ecuador",887
1097,"6/8/2023","Barma Krankenhausgesellschaft","Bhiktarvizem",1900,3.87,"Austria",655
1098,"9/20/2021","Eu Dolor Companie","Proxinostat",500,2.23,"Ecuador",887
