"txnID","date","cust","prod","qty","unitcost","country","repID"
1001,"11/5/2022","Vitae Risus Incorporated","Xinoprozen",1600,2.82,"USA",203
1002,"2/15/2021","Eleifend GMBH","Bhiktarvizem",200,3.87,"Germany",100
1003,"7/6/2023","Varius Plc","Proxinostat",1100,2.23,"Brazil",887
1004,"2/23/2021","Eastern Hospital Group","Gerantrazeophem",1200,1.87,"USA",119
1005,"2/13/2020","Luctus Aliquet Plc","Presterone",1400,1.09,"Brazil",887
1006,"6/15/2022","Vitae Risus Incorporated","Proxinostat",1800,2.23,"USA",203
1007,"9/26/2021","Eastern Hospital Group","Clobromizen",300,1.44,"USA",119
1008,"3/13/2022","Plaxus Medical","Xipramin",2000,0.72,"Canada",119
1009,"7/9/2021","Enim PC","Xinoprozen",200,2.82,"USA",203
1010,"4/13/2022","Erat Pharma","Proxinostat",1500,2.23,"Germany",100
1011,"10/13/2022","Adipiscing Mauris Inc.","Zalofen",600,39,"USA",203
1012,"2/12/2023","Luctus Aliquet Plc","Diaprogenix",1900,0.04,"Brazil",887
1013,"10/26/2021","Pain Management Center","Clobromizen",600,1.44,"USA",332
1014,"1/7/2021","Plaxus Medical","Zalofen",800,39,"Canada",119
1015,"4/23/2023","Luctus Aliquet Plc","Xinoprozen",1500,2.82,"Brazil",887
1016,"11/13/2021","Pain Management Center","Presterone",1900,1.09,"USA",332
1017,"6/19/2020","Lorem Luctus","Clobromizen",1000,1.44,"USA",332
1018,"8/6/2022","Varius Plc","Zalofen",1600,39,"Brazil",887
1019,"9/7/2023","Plaxus Medical","Xinoprozen",1400,2.82,"Canada",119
1020,"3/5/2021","Proin Dolor Institut","Clobromizen",1400,1.44,"Germany",221
1021,"4/15/2023","Luctus Aliquet Plc","Presterone",300,1.09,"Brazil",887
1022,"8/3/2021","Lorem Luctus","Clobromizen",1800,1.44,"USA",332
1023,"8/23/2022","Lorem Luctus","Zalofen",1100,39,"USA",332
1024,"6/9/2020","Nisl Quisque","Clobromizen",800,1.44,"Brazil",887
1025,"6/18/2022","Eleifend GMBH","Colophrazen",900,1.23,"Germany",100
1026,"5/23/2021","Pain Management Center","Bhiktarvizem",1100,3.87,"USA",332
1027,"2/10/2020","Barma Krankenhausgesellschaft","Alaraphosol",1500,0.92,"Austria",655
1028,"9/21/2023","Saude Universal","Alaraphosol",1300,0.92,"Brazil",887
1029,"8/6/2020","Barma Krankenhausgesellschaft","Gerantrazeophem",2000,1.87,"Austria",655
1030,"7/5/2021","Plaxus Medical","Xinoprozen",1600,2.82,"Canada",119
1031,"2/1/2022","At Pretium LLC","Zalofen",700,39,"USA",332
1032,"7/11/2020","Nisl Quisque","Alaraphosol",1000,0.92,"Brazil",887
1033,"10/14/2020","Vitae Risus Incorporated","Presterone",1300,1.09,"USA",203
1034,"12/13/2021","Barma Krankenhausgesellschaft","Clobromizen",1500,1.44,"Austria",655
1035,"3/24/2022","Enim PC","Proxinostat",300,2.23,"USA",203
1036,"11/21/2022","Adipiscing Mauris Inc.","Colophrazen",1400,1.23,"USA",203
1037,"6/1/2023","Eastern Hospital Group","Alaraphosol",1800,0.92,"USA",119
1038,"4/2/2021","Proin Dolor Institut","Xinoprozen",1700,2.82,"Germany",221
1039,"11/21/2023","Eleifend GMBH","Colophrazen",1900,1.23,"Germany",100
1040,"1/19/2020","Plaxus Medical","Xipralofen",1500,4.76,"Canada",119
1041,"9/3/2020","At Pretium LLC","Clobromizen",300,1.44,"USA",332
1042,"10/23/2021","Nisl Quisque","Bhiktarvizem",1100,3.87,"Brazil",887
1043,"4/7/2020","Eu Dolor Companie","Alaraphosol",900,0.92,"Ecuador",887
1044,"7/22/2020","Vitae Risus Incorporated","Xipramin",1000,0.72,"USA",203
1045,"10/11/2022","Eleifend GMBH","Clobromizen",1400,1.44,"Germany",100
1046,"9/8/2021","Adipiscing Mauris Inc.","Alaraphosol",600,0.92,"USA",203
1047,"11/3/2021","Enim PC","Proxinostat",1500,2.23,"USA",203
1048,"5/23/2021","Proin Dolor Institut","Diaprogenix",200,0.04,"Germany",221
1049,"9/26/2022","Proin Dolor Institut","Alaraphosol",700,0.92,"Germany",221
1050,"2/9/2021","Varius Plc","Proxinostat",1700,2.23,"Brazil",887
1051,"9/18/2020","Eu Dolor Companie","Bhiktarvizem",1500,3.87,"Ecuador",887
1052,"8/19/2021","Eastern Hospital Group","Bhiktarvizem",1300,3.87,"USA",119
1053,"6/2/2020","Saude Universal","Presterone",400,1.09,"Brazil",887
1054,"11/23/2022","Barma Krankenhausgesellschaft","Gerantrazeophem",300,1.87,"Austria",655
1055,"3/19/2021","Varius Plc","Colophrazen",1300,1.23,"Brazil",887
1056,"7/1/2021","Proin Dolor Institut","Xipralofen",1500,4.76,"Germany",221
1057,"10/11/2020","Varius Plc","Bhiktarvizem",1500,3.87,"Brazil",887
1058,"3/8/2021","Varius Plc","Presterone",1800,1.09,"Brazil",887
1059,"5/1/2020","Nisl Quisque","Gerantrazeophem",400,1.87,"Brazil",887
1060,"6/5/2022","Eu Dolor Companie","Colophrazen",700,1.23,"Ecuador",887
1061,"2/17/2020","Lorem Luctus","Gerantrazeophem",400,1.87,"USA",332
1062,"2/14/2020","Plaxus Medical","Zalofen",300,39,"Canada",119
1063,"5/6/2021","Erat Pharma","Gerantrazeophem",200,1.87,"Germany",100
1064,"10/2/2022","Lorem Luctus","Colophrazen",1400,1.23,"USA",332
1065,"10/22/2021","Barma Krankenhausgesellschaft","Xinoprozen",1300,2.82,"Austria",655
1066,"8/28/2022","Enim PC","Colophrazen",1500,1.23,"USA",203
1067,"3/7/2020","Saude Universal","Colophrazen",400,1.23,"Brazil",887
1068,"10/20/2020","Eu Dolor Companie","Clobromizen",500,1.44,"Ecuador",887
