"txnID","date","cust","prod","qty","unitcost","country","repID"
1001,"9/13/2023","Enim PC","Presterone",1300,1.09,"USA",203
1002,"5/3/2023","Eu Dolor Companie","Colophrazen",1600,1.23,"Ecuador",887
1003,"8/10/2022","Luctus Aliquet Plc","Xinoprozen",800,2.82,"Brazil",887
1004,"6/13/2022","Nisl Quisque","Xinoprozen",800,2.82,"Brazil",887
1005,"8/9/2022","Pain Management Center","Proxinostat",1300,2.23,"USA",332
1006,"1/7/2021","Proin Dolor Institut","Xinoprozen",400,2.82,"Germany",221
1007,"6/18/2021","Saude Universal","Gerantrazeophem",800,1.87,"Brazil",887
1008,"7/21/2022","Adipiscing Mauris Inc.","Xinoprozen",1800,2.82,"USA",203
1009,"2/2/2022","Vitae Risus Incorporated","Proxinostat",1000,2.23,"USA",203
1010,"4/10/2021","Pain Management Center","Xinoprozen",400,2.82,"USA",332
1011,"6/12/2021","Adipiscing Mauris Inc.","Colophrazen",1900,1.23,"USA",203
1012,"6/12/2021","Saude Universal","Bhiktarvizem",200,3.87,"Brazil",887
1013,"11/7/2023","Pain Management Center","Proxinostat",600,2.23,"USA",332
1014,"1/10/2021","Eu Dolor Companie","Proxinostat",900,2.23,"Ecuador",887
1015,"2/24/2020","Vitae Risus Incorporated","Alaraphosol",1300,0.92,"USA",203
1016,"6/10/2020","Varius Plc","Gerantrazeophem",1100,1.87,"Brazil",887
1017,"12/8/2021","Nisl Quisque","Diaprogenix",400,0.04,"Brazil",887
1018,"6/11/2022","Eu Dolor Companie","Zalofen",1600,39,"Ecuador",887
1019,"6/14/2021","At Pretium LLC","Colophrazen",400,1.23,"USA",332
1020,"6/18/2022","Lorem Luctus","Xinoprozen",500,2.82,"USA",332
1021,"3/10/2020","Proin Dolor Institut","Alaraphosol",1700,0.92,"Germany",221
1022,"11/18/2020","Barma Krankenhausgesellschaft","Alaraphosol",1800,0.92,"Austria",655
1023,"4/8/2022","Barma Krankenhausgesellschaft","Diaprogenix",1000,0.04,"Austria",655
1024,"1/10/2022","Eleifend GMBH","Clobromizen",300,1.44,"Germany",100
1025,"7/20/2021","Varius Plc","Alaraphosol",1600,0.92,"Brazil",887
1026,"4/24/2021","Saude Universal","Diaprogenix",900,0.04,"Brazil",887
1027,"11/5/2020","Enim PC","Colophrazen",1900,1.23,"USA",203
1028,"5/14/2022","Eu Dolor Companie","Gerantrazeophem",1900,1.87,"Ecuador",887
1029,"8/17/2020","Eastern Hospital Group","Colophrazen",1400,1.23,"USA",119
1030,"11/10/2023","Adipiscing Mauris Inc.","Gerantrazeophem",900,1.87,"USA",203
1031,"3/16/2021","At Pretium LLC","Xipramin",2000,0.72,"USA",332
1032,"3/9/2021","Eu Dolor Companie","Xinoprozen",1200,2.82,"Ecuador",887
1033,"1/12/2021","Saude Universal","Bhiktarvizem",1900,3.87,"Brazil",887
1034,"12/16/2023","Proin Dolor Institut","Proxinostat",1800,2.23,"Germany",221
1035,"2/21/2022","Eastern Hospital Group","Colophrazen",200,1.23,"USA",119
1036,"11/5/2020","At Pretium LLC","Alaraphosol",1300,0.92,"USA",332
1037,"9/9/2020","Pain Management Center","Bhiktarvizem",900,3.87,"USA",332
1038,"10/6/2023","Eleifend GMBH","Xipramin",1400,0.72,"Germany",100
1039,"1/15/2021","Pain Management Center","Clobromizen",800,1.44,"USA",332
1040,"5/25/2022","Luctus Aliquet Plc","Diaprogenix",500,0.04,"Brazil",887
1041,"11/8/2021","Varius Plc","Zalofen",2000,39,"Brazil",887
1042,"4/1/2022","Barma Krankenhausgesellschaft","Xipramin",1800,0.72,"Austria",655
1043,"4/12/2021","Eastern Hospital Group","Xipralofen",1900,4.76,"USA",119
1044,"7/4/2023","Luctus Aliquet Plc","Xinoprozen",300,2.82,"Brazil",887
1045,"8/24/2022","Varius Plc","Clobromizen",900,1.44,"Brazil",887
1046,"1/2/2021","Vitae Risus Incorporated","Xinoprozen",1900,2.82,"USA",203
1047,"3/3/2022","Eastern Hospital Group","Clobromizen",1100,1.44,"USA",119
1048,"1/18/2020","Plaxus Medical","Presterone",1600,1.09,"Canada",119
1049,"2/5/2023","Saude Universal","Diaprogenix",200,0.04,"Brazil",887
1050,"9/7/2022","At Pretium LLC","Zalofen",1200,39,"USA",332
1051,"5/24/2021","Plaxus Medical","Gerantrazeophem",1100,1.87,"Canada",119
1052,"12/3/2021","Saude Universal","Clobromizen",1000,1.44,"Brazil",887
1053,"12/8/2020","Nisl Quisque","Gerantrazeophem",1400,1.87,"Brazil",887
1054,"3/20/2020","Eastern Hospital Group","Alaraphosol",600,0.92,"USA",119
1055,"7/9/2022","Plaxus Medical","Xipramin",300,0.72,"Canada",119
1056,"6/16/2021","Barma Krankenhausgesellschaft","Clobromizen",300,1.44,"Austria",655
1057,"2/22/2022","Proin Dolor Institut","Clobromizen",200,1.44,"Germany",221
1058,"3/21/2023","Pain Management Center","Colophrazen",1900,1.23,"USA",332
1059,"2/11/2022","Eastern Hospital Group","Proxinostat",1100,2.23,"USA",119
1060,"9/14/2022","Varius Plc","Presterone",1300,1.09,"Brazil",887
1061,"11/9/2021","Adipiscing Mauris Inc.","Diaprogenix",1000,0.04,"USA",203
1062,"7/3/2022","Nisl Quisque","Gerantrazeophem",600,1.87,"Brazil",887
1063,"1/25/2021","Lorem Luctus","Diaprogenix",1100,0.04,"USA",332
1064,"4/22/2020","Lorem Luctus","Alaraphosol",1300,0.92,"USA",332
1065,"3/6/2022","Pain Management Center","Gerantrazeophem",900,1.87,"USA",332
1066,"5/4/2023","Plaxus Medical","Colophrazen",1600,1.23,"Canada",119
1067,"5/18/2021","Vitae Risus Incorporated","Gerantrazeophem",200,1.87,"USA",203
1068,"2/11/2022","Adipiscing Mauris Inc.","Presterone",1400,1.09,"USA",203
1069,"2/26/2021","Vitae Risus Incorporated","Diaprogenix",1500,0.04,"USA",203
1070,"3/9/2021","Eastern Hospital Group","Presterone",600,1.09,"USA",119
1071,"7/4/2023","Barma Krankenhausgesellschaft","Xinoprozen",1800,2.82,"Austria",655
1072,"3/23/2022","Barma Krankenhausgesellschaft","Zalofen",1100,39,"Austria",655
1073,"6/9/2021","Proin Dolor Institut","Xipramin",200,0.72,"Germany",221
1074,"10/14/2022","Eastern Hospital Group","Colophrazen",300,1.23,"USA",119
1075,"4/25/2021","Luctus Aliquet Plc","Diaprogenix",2000,0.04,"Brazil",887
1076,"10/22/2022","Barma Krankenhausgesellschaft","Clobromizen",100,1.44,"Austria",655
1077,"11/12/2022","Enim PC","Presterone",1000,1.09,"USA",203
1078,"8/18/2023","Enim PC","Gerantrazeophem",200,1.87,"USA",203
1079,"2/21/2022","Eastern Hospital Group","Diaprogenix",900,0.04,"USA",119
1080,"3/8/2020","Vitae Risus Incorporated","Alaraphosol",1100,0.92,"USA",203
1081,"11/8/2022","Varius Plc","Xipramin",1200,0.72,"Brazil",887
1082,"8/6/2021","Eleifend GMBH","Alaraphosol",1000,0.92,"Germany",100
1083,"7/25/2021","At Pretium LLC","Bhiktarvizem",600,3.87,"USA",332
1084,"3/23/2020","Luctus Aliquet Plc","Xipramin",1200,0.72,"Brazil",887
1085,"1/17/2020","Barma Krankenhausgesellschaft","Proxinostat",300,2.23,"Austria",655
1086,"5/8/2022","Luctus Aliquet Plc","Colophrazen",1000,1.23,"Brazil",887
1087,"1/6/2021","Plaxus Medical","Gerantrazeophem",1800,1.87,"Canada",119
1088,"9/6/2021","Pain Management Center","Alaraphosol",500,0.92,"USA",332
1089,"9/12/2022","Adipiscing Mauris Inc.","Zalofen",800,39,"USA",203
1090,"12/24/2023","Luctus Aliquet Plc","Colophrazen",1500,1.23,"Brazil",887
1091,"5/4/2023","Pain Management Center","Proxinostat",500,2.23,"USA",332
1092,"12/8/2021","Pain Management Center","Xinoprozen",700,2.82,"USA",332
1093,"4/8/2022","Barma Krankenhausgesellschaft","Zalofen",1100,39,"Austria",655
1094,"8/16/2021","Eleifend GMBH","Presterone",100,1.09,"Germany",100
1095,"9/27/2023","Adipiscing Mauris Inc.","Xinoprozen",700,2.82,"USA",203
1096,"9/21/2021","Proin Dolor Institut","Bhiktarvizem",400,3.87,"Germany",221
1097,"4/1/2021","Varius Plc","Alaraphosol",1100,0.92,"Brazil",887
1098,"10/19/2020","Proin Dolor Institut","Clobromizen",200,1.44,"Germany",221
1099,"5/20/2022","Pain Management Center","Zalofen",1700,39,"USA",332
1100,"11/24/2023","At Pretium LLC","Clobromizen",300,1.44,"USA",332
