"txnID","date","cust","prod","qty","unitcost","country","repID"
1001,"11/3/2022","Eu Dolor Companie","Zalofen",1900,39,"Ecuador",887
1002,"11/3/2022","Luctus Aliquet Plc","Colophrazen",1800,1.23,"Brazil",887
1003,"2/11/2021","Vitae Risus Incorporated","Proxinostat",400,2.23,"USA",203
1004,"11/24/2023","Adipiscing Mauris Inc.","Diaprogenix",900,0.04,"USA",203
1005,"4/17/2022","Eleifend GMBH","Presterone",1800,1.09,"Germany",100
1006,"8/21/2020","Lorem Luctus","Clobromizen",700,1.44,"USA",332
1007,"6/17/2021","Vitae Risus Incorporated","Xinoprozen",600,2.82,"USA",203
1008,"9/14/2021","Luctus Aliquet Plc","Xipramin",900,0.72,"Brazil",887
1009,"1/12/2022","Lorem Luctus","Diaprogenix",900,0.04,"USA",332
1010,"11/22/2021","Luctus Aliquet Plc","Clobromizen",800,1.44,"Brazil",887
1011,"9/11/2021","Luctus Aliquet Plc","Diaprogenix",1900,0.04,"Brazil",887
1012,"4/11/2023","Enim PC","Gerantrazeophem",500,1.87,"USA",203
1013,"5/14/2021","Luctus Aliquet Plc","Xinoprozen",2000,2.82,"Brazil",887
1014,"3/9/2022","Barma Krankenhausgesellschaft","Clobromizen",400,1.44,"Austria",655
1015,"4/9/2020","Barma Krankenhausgesellschaft","Xinoprozen",1700,2.82,"Austria",655
1016,"3/16/2020","Varius Plc","Presterone",400,1.09,"Brazil",887
1017,"1/26/2021","Eleifend GMBH","Diaprogenix",1200,0.04,"Germany",100
1018,"9/25/2022","Enim PC","Gerantrazeophem",700,1.87,"USA",203
1019,"7/7/2023","Plaxus Medical","Proxinostat",300,2.23,"Canada",119
1020,"4/25/2023","Luctus Aliquet Plc","Presterone",600,1.09,"Brazil",887
1021,"1/21/2022","At Pretium LLC","Zalofen",600,39,"USA",332
1022,"9/19/2023","Pain Management Center","Xipralofen",1900,4.76,"USA",332
1023,"8/8/2022","Lorem Luctus","Xipralofen",200,4.76,"USA",332
1024,"6/10/2022","Luctus Aliquet Plc","Alaraphosol",100,0.92,"Brazil",887
1025,"1/9/2021","Nisl Quisque","Alaraphosol",1800,0.92,"Brazil",887
1026,"4/19/2020","Eleifend GMBH","Xipralofen",1700,4.76,"Germany",100
1027,"7/15/2021","Pain Management Center","Colophrazen",1400,1.23,"USA",332
1028,"7/3/2020","Proin Dolor Institut","Gerantrazeophem",400,1.87,"Germany",221
1029,"2/11/2022","Proin Dolor Institut","Xipralofen",1800,4.76,"Germany",221
1030,"10/20/2022","Proin Dolor Institut","Presterone",1200,1.09,"Germany",221
1031,"4/13/2022","Eu Dolor Companie","Xipralofen",1900,4.76,"Ecuador",887
1032,"10/16/2022","Vitae Risus Incorporated","Gerantrazeophem",1400,1.87,"USA",203
1033,"9/2/2021","Eastern Hospital Group","Bhiktarvizem",200,3.87,"USA",119
1034,"6/1/2022","Saude Universal","Alaraphosol",1900,0.92,"Brazil",887
1035,"8/24/2021","Erat Pharma","Proxinostat",800,2.23,"Germany",100
1036,"6/10/2021","Enim PC","Xinoprozen",1300,2.82,"USA",203
1037,"8/11/2021","Proin Dolor Institut","Gerantrazeophem",1100,1.87,"Germany",221
1038,"11/25/2022","Adipiscing Mauris Inc.","Gerantrazeophem",900,1.87,"USA",203
1039,"2/6/2020","Enim PC","Diaprogenix",400,0.04,"USA",203
1040,"10/15/2021","Nisl Quisque","Alaraphosol",2000,0.92,"Brazil",887
1041,"5/16/2021","Nisl Quisque","Gerantrazeophem",1000,1.87,"Brazil",887
1042,"7/8/2021","Barma Krankenhausgesellschaft","Xipralofen",1000,4.76,"Austria",655
1043,"3/20/2021","Erat Pharma","Gerantrazeophem",1800,1.87,"Germany",100
1044,"2/26/2020","Barma Krankenhausgesellschaft","Gerantrazeophem",1300,1.87,"Austria",655
1045,"9/12/2022","Lorem Luctus","Proxinostat",1700,2.23,"USA",332
1046,"10/18/2021","Nisl Quisque","Presterone",500,1.09,"Brazil",887
1047,"10/4/2021","Adipiscing Mauris Inc.","Colophrazen",300,1.23,"USA",203
1048,"10/4/2022","Luctus Aliquet Plc","Presterone",1700,1.09,"Brazil",887
1049,"3/12/2021","Plaxus Medical","Diaprogenix",1000,0.04,"Canada",119
1050,"8/11/2021","Saude Universal","Alaraphosol",1400,0.92,"Brazil",887
1051,"6/25/2023","Barma Krankenhausgesellschaft","Bhiktarvizem",800,3.87,"Austria",655
1052,"5/6/2022","Erat Pharma","Diaprogenix",1900,0.04,"Germany",100
1053,"3/20/2023","Lorem Luctus","Clobromizen",1100,1.44,"USA",332
1054,"4/22/2021","At Pretium LLC","Xinoprozen",1600,2.82,"USA",332
1055,"4/22/2022","At Pretium LLC","Proxinostat",500,2.23,"USA",332
1056,"11/7/2021","Nisl Quisque","Alaraphosol",900,0.92,"Brazil",887
1057,"11/23/2023","Pain Management Center","Xinoprozen",900,2.82,"USA",332
1058,"9/24/2020","Eleifend GMBH","Alaraphosol",900,0.92,"Germany",100
1059,"5/22/2021","Eu Dolor Companie","Bhiktarvizem",1500,3.87,"Ecuador",887
1060,"11/23/2022","Nisl Quisque","Alaraphosol",1900,0.92,"Brazil",887
1061,"10/27/2023","Barma Krankenhausgesellschaft","Presterone",300,1.09,"Austria",655
1062,"3/18/2020","Barma Krankenhausgesellschaft","Zalofen",1800,39,"Austria",655
1063,"2/27/2021","Adipiscing Mauris Inc.","Proxinostat",400,2.23,"USA",203
1064,"2/26/2020","At Pretium LLC","Colophrazen",1400,1.23,"USA",332
1065,"9/9/2022","Nisl Quisque","Colophrazen",1700,1.23,"Brazil",887
1066,"1/22/2020","Barma Krankenhausgesellschaft","Presterone",200,1.09,"Austria",655
1067,"7/20/2023","Plaxus Medical","Clobromizen",700,1.44,"Canada",119
1068,"6/23/2021","Saude Universal","Diaprogenix",1800,0.04,"Brazil",887
1069,"9/10/2021","Luctus Aliquet Plc","Colophrazen",900,1.23,"Brazil",887
1070,"3/22/2022","Proin Dolor Institut","Presterone",1000,1.09,"Germany",221
1071,"1/27/2022","Enim PC","Clobromizen",1200,1.44,"USA",203
